age_husband,age_wife,ht_husband,ht_wife,age_husb_at_marriage,age_wife_at_marriage,years_married
49,43,1809,1590,25,19,24
25,28,1841,1560,19,22,6
40,30,1659,1620,38,28,2
52,57,1779,1540,26,31,26
58,52,1616,1420,30,24,28
32,27,1695,1660,23,18,9
43,52,1730,1610,33,42,10
42,NA,1753,1635,30,NA,12
47,43,1740,1580,26,22,21
31,23,1685,1610,26,18,5
26,25,1735,1590,23,22,3
40,39,1713,1610,23,22,17
35,32,1736,1700,31,28,4
45,NA,1715,1522,41,NA,4
35,35,1799,1680,19,19,16
35,33,1785,1680,24,22,11
47,43,1758,1630,24,20,23
38,35,1729,1570,27,24,11
33,32,1720,1720,28,27,5
32,30,1810,1740,22,20,10
38,40,1725,1600,31,33,7
45,NA,1764,1689,24,NA,21
29,29,1683,1600,25,25,4
59,55,1585,1550,23,19,36
26,25,1684,1540,18,17,8
50,45,1674,1640,25,20,25
49,44,1724,1640,27,22,22
42,40,1630,1630,28,26,14
33,31,1855,1560,22,20,11
31,NA,1796,1652,25,NA,6
27,25,1700,1580,21,19,6
57,51,1765,1570,32,26,25
34,31,1700,1590,28,25,6
28,25,1721,1650,23,20,5
46,NA,1823,1591,NA,NA,NA
37,35,1829,1670,22,20,15
56,55,1710,1600,44,43,12
27,23,1745,1610,25,21,2
36,35,1698,1610,22,21,14
31,28,1853,1670,20,17,11
57,52,1610,1510,25,20,32
55,53,1680,1520,21,19,34
47,43,1809,1620,25,21,22
64,61,1580,1530,21,18,43
60,NA,1600,1451,26,NA,34
31,23,1585,1570,28,20,3
35,35,1705,1580,25,25,10
36,35,1675,1590,22,21,14
40,39,1735,1670,23,22,17
30,24,1686,1630,27,21,3
32,29,1768,1510,21,18,11
27,NA,1721,1560,26,NA,1
20,21,1754,1660,19,20,1
45,39,1739,1610,25,19,20
59,52,1699,1440,27,20,32
43,52,1825,1570,25,34,18
29,26,1740,1670,24,21,5
48,NA,1704,1635,27,NA,21
39,NA,1719,1670,25,NA,14
47,48,1731,1730,21,22,26
54,53,1679,1560,NA,NA,NA
43,42,1755,1590,20,19,23
54,50,1713,1600,23,19,31
61,64,1723,1490,26,29,35
27,26,1783,1660,20,19,7
51,NA,1585,1504,50,NA,1
27,32,1749,1580,24,29,3
32,31,1710,1500,31,30,1
54,53,1724,1640,20,19,34
37,39,1620,1650,21,23,16
55,45,1764,1620,29,19,26
36,33,1791,1550,30,27,6
32,32,1795,1640,25,25,7
57,55,1738,1560,24,22,33
51,NA,1639,1552,25,NA,26
62,NA,1734,1600,33,NA,29
57,NA,1695,1545,22,NA,35
51,52,1666,1570,24,25,27
50,50,1745,1550,22,22,28
32,32,1775,1600,20,20,12
54,54,1669,1660,20,20,34
34,32,1700,1640,22,20,12
45,41,1804,1670,27,23,18
64,61,1700,1560,24,21,40
55,43,1664,1760,31,19,24
27,28,1753,1640,23,24,4
55,51,1788,1600,26,22,29
27,NA,1765,1571,NA,NA,NA
41,41,1680,1550,22,22,19
44,41,1715,1570,24,21,20
22,21,1755,1590,21,20,1
30,28,1764,1650,29,27,1
53,47,1793,1690,31,25,22
42,37,1731,1580,23,18,19
31,28,1713,1590,28,25,3
36,35,1725,1510,26,25,10
56,55,1828,1600,30,29,26
46,45,1735,1660,22,21,24
34,34,1760,1700,23,23,11
55,51,1685,1530,34,30,21
44,39,1685,1490,27,22,17
45,35,1559,1580,34,24,11
48,45,1705,1500,28,25,20
44,44,1723,1600,41,41,3
59,47,1700,1570,39,27,20
64,57,1660,1620,32,25,32
34,33,1681,1410,22,21,12
37,38,1803,1560,23,24,14
54,59,1866,1590,49,54,5
49,46,1884,1710,25,22,24
63,60,1705,1580,27,24,36
48,47,1780,1690,22,21,26
64,55,1801,1610,37,28,27
33,45,1795,1660,17,29,16
52,47,1669,1610,23,18,29
27,24,1708,1590,26,23,1
33,32,1691,1530,21,20,12
46,47,1825,1690,23,24,23
54,57,1760,1600,23,26,31
27,NA,1949,1693,25,NA,2
50,NA,1685,1580,21,NA,29
42,NA,1806,1636,22,NA,20
54,46,1905,1670,32,24,22
49,42,1739,1600,28,21,21
62,63,1736,1570,22,23,40
34,32,1845,1700,24,22,10
23,24,1868,1740,19,20,4
36,32,1765,1540,27,23,9
53,NA,1736,1555,30,NA,23
32,NA,1741,1614,22,NA,10
59,56,1720,1530,24,21,35
53,50,1871,1690,25,22,28
55,55,1720,1590,21,21,34
62,58,1629,1610,23,19,39
42,38,1624,1670,22,18,20
50,44,1653,1690,35,29,15
37,35,1786,1550,21,19,16
51,44,1620,1650,30,23,21
25,25,1695,1540,19,19,6
54,43,1674,1660,35,24,19
34,31,1864,1620,23,20,11
43,35,1643,1630,29,21,14
43,41,1705,1610,22,20,21
58,50,1736,1540,32,24,26
28,23,1691,1610,23,18,5
45,43,1753,1630,21,19,24
47,49,1680,1530,20,22,27
57,59,1724,1520,24,26,33
27,NA,1710,1544,20,NA,7
34,38,1638,1570,33,37,1
57,42,1725,1580,52,37,5
27,21,1725,1550,24,18,3
54,NA,1630,1570,34,NA,20
24,NA,1810,1521,16,NA,8
48,42,1774,1580,30,24,18
37,35,1771,1630,28,26,9
25,26,1815,1650,20,21,5
57,57,1575,1640,20,20,37
40,34,1729,1650,26,20,14
61,63,1749,1520,21,23,40
25,23,1705,1620,24,22,1
32,NA,1875,1744,22,NA,10
37,NA,1784,1647,22,NA,15
45,NA,1584,1615,29,NA,16
24,23,1774,1680,22,21,2
47,46,1658,1670,24,23,23
44,40,1790,1620,24,20,20
52,53,1798,1570,25,26,27
45,40,1824,1660,23,18,22
20,22,1796,1550,19,21,1
60,60,1725,1590,21,21,39
36,32,1685,1620,25,21,11
25,24,1769,1560,18,17,7
25,28,1749,1670,21,24,4
35,40,1716,1650,17,22,18
35,NA,1664,1539,22,NA,13
49,48,1773,1470,21,20,28
33,33,1760,1580,20,20,13
50,49,1725,1670,23,22,27
63,64,1645,1520,28,29,35
57,55,1694,1620,24,22,33
41,41,1851,1710,23,23,18
38,38,1691,1530,20,20,18
30,31,1880,1630,22,23,8
52,52,1835,1720,30,30,22
51,43,1730,1570,22,14,29
46,51,1644,1560,27,32,19
50,47,1723,1650,25,22,25
32,NA,1758,1635,24,NA,8
52,32,1718,1590,25,5,27
30,33,1723,1590,22,25,8
33,NA,1708,1566,21,NA,12
20,18,1786,1590,19,17,1
32,NA,1764,1662,NA,NA,NA
51,45,1675,1550,25,19,26
64,64,1641,1570,30,30,34
44,43,1743,1560,25,24,19
40,39,1823,1630,23,22,17
59,56,1720,1530,24,21,35
